panel_lineage,showcase_gene_name,showcase_gene_id,plotted_lineage,day,mean_cpm,sem_cpm,log10_cpm_plus_1,log10_sem_approx
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,1,13.209,12.445,1.1525635142565396,0.2731988791274711
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,2,0.0,0.0,0.0,0.0
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,5,5.833,5.833,0.8346114207226871,0.2680280629686129
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,6,73.916,44.117,1.8745745809789143,0.20109279832201254
ectoderm,ZMIZ1,ENSG00000108175,ectoderm,7,395.175,296.278,2.597887066597256,0.2425032345567648
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,1,2.276,1.461,0.5153438930883808,0.16015949163957588
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,2,104.941,23.656,2.0250640680184215,0.0875308802867889
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,5,103.038,37.199,2.0171919948376327,0.13275648934879047
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,6,3.858,2.249,0.6864575104691117,0.1652288049733157
ectoderm,ZMIZ1,ENSG00000108175,mesoderm,7,12.626,6.592,1.1343683846033787,0.1713698076049388
ectoderm,ZMIZ1,ENSG00000108175,endoderm,1,0.772,0.772,0.24846371755103194,0.15705338942534433
ectoderm,ZMIZ1,ENSG00000108175,endoderm,2,14.772,4.781,1.1978867684011856,0.11498845383786027
ectoderm,ZMIZ1,ENSG00000108175,endoderm,5,6.44,3.849,0.8715729355458788,0.181082537493648
ectoderm,ZMIZ1,ENSG00000108175,endoderm,6,2.704,0.882,0.5686709780098967,0.09276307238402337
ectoderm,ZMIZ1,ENSG00000108175,endoderm,7,6.95,4.572,0.9003671286564703,0.19730657079262737
ectoderm,PAX6,ENSG00000007372,ectoderm,1,0.0,0.0,0.0,0.0
ectoderm,PAX6,ENSG00000007372,ectoderm,2,0.0,0.0,0.0,0.0
ectoderm,PAX6,ENSG00000007372,ectoderm,5,208.943,72.892,2.3221013988022308,0.12943175231390125
ectoderm,PAX6,ENSG00000007372,ectoderm,6,586.22,409.008,2.7688008387024983,0.22955790515301455
ectoderm,PAX6,ENSG00000007372,ectoderm,7,1094.068,316.478,3.0394410882243847,0.11025394744356642
ectoderm,PAX6,ENSG00000007372,mesoderm,1,1.087,1.087,0.31952244906545396,0.18208447335337535
ectoderm,PAX6,ENSG00000007372,mesoderm,2,0.682,0.358,0.22582599146189336,0.08380417596400541
ectoderm,PAX6,ENSG00000007372,mesoderm,5,1.49,0.798,0.39619934709573634,0.12073246177227648
ectoderm,PAX6,ENSG00000007372,mesoderm,6,0.723,0.723,0.23628527744802844,0.1521711752522382
ectoderm,PAX6,ENSG00000007372,mesoderm,7,0.0,0.0,0.0,0.0
ectoderm,PAX6,ENSG00000007372,endoderm,1,0.0,0.0,0.0,0.0
ectoderm,PAX6,ENSG00000007372,endoderm,2,8.052,4.75,0.9567445452826909,0.1831974777872888
ectoderm,PAX6,ENSG00000007372,endoderm,5,3.48,1.522,0.651278013998144,0.12701797709068985
ectoderm,PAX6,ENSG00000007372,endoderm,6,1.759,1.15,0.44075170047918544,0.15131396995306168
ectoderm,PAX6,ENSG00000007372,endoderm,7,2.09,2.09,0.4899584794248346,0.22437128032039833
ectoderm,CLDN4,ENSG00000189143,ectoderm,1,14.927,14.927,1.2021339800608195,0.2871774951258286
ectoderm,CLDN4,ENSG00000189143,ectoderm,2,91.978,52.838,1.968380200071357,0.1954249804981485
ectoderm,CLDN4,ENSG00000189143,ectoderm,5,46.833,26.738,1.679727619897421,0.19284234713811377
ectoderm,CLDN4,ENSG00000189143,ectoderm,6,9.878,9.878,1.0365490544791522,0.28059460754373733
ectoderm,CLDN4,ENSG00000189143,ectoderm,7,20.302,16.654,1.3284203803489505,0.2508600576143971
ectoderm,CLDN4,ENSG00000189143,mesoderm,1,5.336,4.043,0.8018151685814371,0.2143403433700174
ectoderm,CLDN4,ENSG00000189143,mesoderm,2,3.058,2.276,0.6083120426973272,0.19336601633856598
ectoderm,CLDN4,ENSG00000189143,mesoderm,5,10.26,4.529,1.0515383905153275,0.14681623422161239
ectoderm,CLDN4,ENSG00000189143,mesoderm,6,15.603,1.176,1.2201865679032757,0.029720762032642067
ectoderm,CLDN4,ENSG00000189143,mesoderm,7,8.333,1.533,0.9700212658283658,0.0660484348693362
ectoderm,CLDN4,ENSG00000189143,endoderm,1,0.0,0.0,0.0,0.0
ectoderm,CLDN4,ENSG00000189143,endoderm,2,13.152,3.263,1.1508178199016668,0.09010565889258837
ectoderm,CLDN4,ENSG00000189143,endoderm,5,9.968,4.11,1.0401274417814563,0.13821629719476336
ectoderm,CLDN4,ENSG00000189143,endoderm,6,10.995,3.362,1.0790002523038493,0.10730613196605865
ectoderm,CLDN4,ENSG00000189143,endoderm,7,6.95,4.572,0.9003671286564703,0.19730657079262737
mesoderm,CARM1,ENSG00000142453,ectoderm,1,79.453,46.545,1.9055422430795965,0.19825463853932757
mesoderm,CARM1,ENSG00000142453,ectoderm,2,38.916,10.862,1.6011470139538508,0.10452857730482146
mesoderm,CARM1,ENSG00000142453,ectoderm,5,34.666,11.446,1.552254405235813,0.1208771360757992
mesoderm,CARM1,ENSG00000142453,ectoderm,6,39.512,39.512,1.6075836840012423,0.2956365717959284
mesoderm,CARM1,ENSG00000142453,ectoderm,7,163.237,43.588,2.215471003487809,0.10222678568612276
mesoderm,CARM1,ENSG00000142453,mesoderm,1,3.19,2.975,0.6222140229662952,0.23300217176706806
mesoderm,CARM1,ENSG00000142453,mesoderm,2,78.554,3.333,1.9006620209939638,0.01782440013547082
mesoderm,CARM1,ENSG00000142453,mesoderm,5,46.613,5.911,1.6777255463642147,0.050823015664122284
mesoderm,CARM1,ENSG00000142453,mesoderm,6,1.056,0.54,0.31302311032323815,0.1012815778050935
mesoderm,CARM1,ENSG00000142453,mesoderm,7,7.924,5.67,0.9505595616118001,0.2136147803048487
mesoderm,CARM1,ENSG00000142453,endoderm,1,11.585,11.585,1.0998532198843816,0.2834234305232688
mesoderm,CARM1,ENSG00000142453,endoderm,2,7.193,6.717,0.9134429548593958,0.2600346885935988
mesoderm,CARM1,ENSG00000142453,endoderm,5,5.091,3.713,0.7846885995014212,0.20671470307861906
mesoderm,CARM1,ENSG00000142453,endoderm,6,2.555,1.114,0.5508396050657851,0.11838426886502074
mesoderm,CARM1,ENSG00000142453,endoderm,7,13.839,10.422,1.1714046348301292,0.23104590402123515
mesoderm,MSX2,ENSG00000120149,ectoderm,1,0.0,0.0,0.0,0.0
mesoderm,MSX2,ENSG00000120149,ectoderm,2,0.0,0.0,0.0,0.0
mesoderm,MSX2,ENSG00000120149,ectoderm,5,7.135,2.848,0.9103575572728776,0.13036342632831588
mesoderm,MSX2,ENSG00000120149,ectoderm,6,0.0,0.0,0.0,0.0
mesoderm,MSX2,ENSG00000120149,ectoderm,7,15.525,14.28,1.2181414681576779,0.27047974497175065
mesoderm,MSX2,ENSG00000120149,mesoderm,1,1.812,1.4,0.44901531634778635,0.1754730461656625
mesoderm,MSX2,ENSG00000120149,mesoderm,2,774.187,147.17,2.8894064809214433,0.07549256716179675
mesoderm,MSX2,ENSG00000120149,mesoderm,5,120.978,20.53,2.0862815082142987,0.0675577368904623
mesoderm,MSX2,ENSG00000120149,mesoderm,6,0.592,0.592,0.20194306340165025,0.13730957063104943
mesoderm,MSX2,ENSG00000120149,mesoderm,7,32.132,19.468,1.520247652686888,0.20073809146685107
mesoderm,MSX2,ENSG00000120149,endoderm,1,0.0,0.0,0.0,0.0
mesoderm,MSX2,ENSG00000120149,endoderm,2,0.0,0.0,0.0,0.0
mesoderm,MSX2,ENSG00000120149,endoderm,5,1.02,0.575,0.3053513694466238,0.10878599273785283
mesoderm,MSX2,ENSG00000120149,endoderm,6,1.261,0.537,0.3543005623453597,0.09254714781044909
mesoderm,MSX2,ENSG00000120149,endoderm,7,9.343,9.343,1.0146465246840317,0.2795109560856597
mesoderm,MESP1,ENSG00000166823,ectoderm,1,0.0,0.0,0.0,0.0
mesoderm,MESP1,ENSG00000166823,ectoderm,2,0.0,0.0,0.0,0.0
mesoderm,MESP1,ENSG00000166823,ectoderm,5,1.5,1.5,0.3979400086720376,0.2041199826559248
mesoderm,MESP1,ENSG00000166823,ectoderm,6,0.0,0.0,0.0,0.0
mesoderm,MESP1,ENSG00000166823,ectoderm,7,0.0,0.0,0.0,0.0
mesoderm,MESP1,ENSG00000166823,mesoderm,1,17.429,17.32,1.2655017700392257,0.2877621278305711
mesoderm,MESP1,ENSG00000166823,mesoderm,2,1095.38,325.882,3.0399611046047275,0.11301850210774633
mesoderm,MESP1,ENSG00000166823,mesoderm,5,172.035,64.945,2.2381339572875856,0.13840650290080925
mesoderm,MESP1,ENSG00000166823,mesoderm,6,4.037,2.933,0.7021719508577112,0.19928637053840115
mesoderm,MESP1,ENSG00000166823,mesoderm,7,3.141,1.873,0.6171052305023781,0.16205819326212068
mesoderm,MESP1,ENSG00000166823,endoderm,1,0.0,0.0,0.0,0.0
mesoderm,MESP1,ENSG00000166823,endoderm,2,0.0,0.0,0.0,0.0
mesoderm,MESP1,ENSG00000166823,endoderm,5,0.645,0.337,0.2161659022859931,0.08093774786326338
mesoderm,MESP1,ENSG00000166823,endoderm,6,0.151,0.151,0.06107532362979181,0.053535660602381345
mesoderm,MESP1,ENSG00000166823,endoderm,7,0.0,0.0,0.0,0.0
endoderm,GPX4,ENSG00000167468,ectoderm,1,265.64,89.417,2.4259253006524735,0.1255942276684534
endoderm,GPX4,ENSG00000167468,ectoderm,2,323.074,27.25,2.5106441895960043,0.035063629172798816
endoderm,GPX4,ENSG00000167468,ectoderm,5,311.808,127.63,2.495277851521528,0.1486069303457671
endoderm,GPX4,ENSG00000167468,ectoderm,6,249.905,131.264,2.3995093159609757,0.18274613997894606
endoderm,GPX4,ENSG00000167468,ectoderm,7,347.725,61.672,2.5424830829448255,0.0707210944800658
endoderm,GPX4,ENSG00000167468,mesoderm,1,50.328,48.384,1.7103543422680507,0.28839308505238215
endoderm,GPX4,ENSG00000167468,mesoderm,2,188.623,42.673,2.277891013209187,0.08815071836081145
endoderm,GPX4,ENSG00000167468,mesoderm,5,128.242,18.787,2.1114036700376766,0.05894313526411743
endoderm,GPX4,ENSG00000167468,mesoderm,6,13.638,7.393,1.1654817428221642,0.17755246765703347
endoderm,GPX4,ENSG00000167468,mesoderm,7,29.561,15.138,1.4851675608780126,0.17473913592633306
endoderm,GPX4,ENSG00000167468,endoderm,1,150.599,150.599,2.1806963365472596,0.2995952492272953
endoderm,GPX4,ENSG00000167468,endoderm,2,18.713,13.192,1.2947527219101778,0.22250917322583708
endoderm,GPX4,ENSG00000167468,endoderm,5,31.158,17.407,1.507289030873264,0.18788607964107928
endoderm,GPX4,ENSG00000167468,endoderm,6,12.828,10.926,1.1407593708703692,0.25288601573516667
endoderm,GPX4,ENSG00000167468,endoderm,7,2095.669,2032.12,3.3215298740419312,0.29429281496569537
endoderm,CKB,ENSG00000166165,ectoderm,1,236.816,97.475,2.3762410701226826,0.14918082597599902
endoderm,CKB,ENSG00000166165,ectoderm,2,524.105,121.607,2.7202461536176057,0.09046476591220998
endoderm,CKB,ENSG00000166165,ectoderm,5,191.929,50.553,2.2853975132496784,0.10106934721011784
endoderm,CKB,ENSG00000166165,ectoderm,6,136.477,74.577,2.1382300464673607,0.1882164225544618
endoderm,CKB,ENSG00000166165,ectoderm,7,165.05,41.066,2.220238879934404,0.0959747701097231
endoderm,CKB,ENSG00000166165,mesoderm,1,20.372,19.508,1.3298451655108683,0.28166572161578807
endoderm,CKB,ENSG00000166165,mesoderm,2,115.788,23.373,2.067398221188051,0.07922896618712905
endoderm,CKB,ENSG00000166165,mesoderm,5,59.904,13.098,1.7846458167852552,0.08459764047580665
endoderm,CKB,ENSG00000166165,mesoderm,6,13.604,5.641,1.16447182427769,0.14184595682674228
endoderm,CKB,ENSG00000166165,mesoderm,7,28.748,23.48,1.4734577728154463,0.25268237539221605
endoderm,CKB,ENSG00000166165,endoderm,1,274.814,196.412,2.4406163066854947,0.23353358826744985
endoderm,CKB,ENSG00000166165,endoderm,2,24.729,17.165,1.4104229069673782,0.221973640482384
endoderm,CKB,ENSG00000166165,endoderm,5,13.397,6.713,1.1582720046520838,0.16621622865557262
endoderm,CKB,ENSG00000166165,endoderm,6,5.203,3.152,0.7926017811649665,0.17844201067106225
endoderm,CKB,ENSG00000166165,endoderm,7,3149.831,3135.235,3.4984251097002588,0.2999538268421569
endoderm,SUCLG1,ENSG00000163541,ectoderm,1,228.199,41.474,2.3602127184636363,0.07223221800198765
endoderm,SUCLG1,ENSG00000163541,ectoderm,2,92.976,25.897,1.973016955744416,0.10570441858479684
endoderm,SUCLG1,ENSG00000163541,ectoderm,5,199.789,82.783,2.3027399167889357,0.1499234294476679
endoderm,SUCLG1,ENSG00000163541,ectoderm,6,180.759,92.495,2.2594959246400985,0.17865704584642828
endoderm,SUCLG1,ENSG00000163541,ectoderm,7,134.866,29.71,2.1331107896257793,0.08588659703242163
endoderm,SUCLG1,ENSG00000163541,mesoderm,1,247.553,181.809,2.395419009380401,0.23841490774148166
endoderm,SUCLG1,ENSG00000163541,mesoderm,2,147.881,21.472,2.1728392771903042,0.05851050892006926
endoderm,SUCLG1,ENSG00000163541,mesoderm,5,221.368,6.493,2.347072289999357,0.012499501242843714
endoderm,SUCLG1,ENSG00000163541,mesoderm,6,468.173,71.615,2.671333011353961,0.061694034760824135
endoderm,SUCLG1,ENSG00000163541,mesoderm,7,343.138,30.904,2.5367326304213687,0.03734727556463158
endoderm,SUCLG1,ENSG00000163541,endoderm,1,52.517,52.517,1.728491760216365,0.29695338471592336
endoderm,SUCLG1,ENSG00000163541,endoderm,2,644.876,97.027,2.810149146965788,0.06078296515974868
endoderm,SUCLG1,ENSG00000163541,endoderm,5,554.539,10.828,2.744714552728294,0.008383388042010775
endoderm,SUCLG1,ENSG00000163541,endoderm,6,730.639,16.082,2.864296847478737,0.009442730648278275
endoderm,SUCLG1,ENSG00000163541,endoderm,7,529.141,112.14,2.724391392955342,0.08333368192003165
